level,type,Region/economy,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1,region,World,204887.7031,153959.0873,164684.9945,222236.6021,255893.7326,345142.7446,392778.6563,480628.4795,681509.2912,1078285.663,1356685.067,773130.5078,590311.3487,549570.5644,699234.4965,954072.5163,1413371.305,1906638.144,1488307.553,1173741.495,1393014.212,1613465.197,1469073.074,1468366.963,1411830.04,2056416.378,2003453.68,1644871.857,1375436.898,1707830.126,961983.2132,1478137.055,1294738.228
2,region,Developed economies,171279.4722,116082.9802,112105.3013,145961.3116,153719.475,228407.0243,246473.0433,295542.0679,509573.0726,870309.9162,1133973.771,560142.495,424916.1099,355532.4736,441206.5979,631232.2241,1009581.317,1382593.55,900466.3087,700597.644,760395.1332,931578.1736,789189.7663,799416.3613,718232.0995,1310139.86,1343603.973,943166.4819,678199.8361,998715.8487,315461.323,597242.831,378320.287
3,region,Europe,102697.2824,81867.35315,77530.90366,82785.39965,90540.97957,141746.3675,138208.4791,162388.1606,293729.8218,531685.9001,710777.7035,350865.3601,296002.8356,274684.5221,239885.503,506576.6911,664818.422,963967.3627,436553.7605,476203.1286,481750.5672,582467.0842,463673.7924,443059.5896,369201.3223,751134.5161,753215.6372,518733.4732,323682.5766,634326.5999,132537.022,50711.35295,-106770.1981
4,region,European Union,65099.39227,63939.30301,59033.38516,63313.48216,73153.15478,110995.2516,100057.6504,111729.3368,211493.6044,418392.8397,564989.5288,298098.7563,262766.0238,226394.2581,155573.5423,297514.9341,410722.3349,668322.2936,220598.3211,296012.4696,334957.8048,445040.9641,319199.1457,322747.3939,292831.3617,630323.0352,363172.975,263467.7098,309972.8735,600078.5562,115622.7982,152380.9557,-124948.0087
5,country,Austria,653,360,1485.517753,1125.106122,2075.823594,1825.090253,4323.513092,2668.974816,4571.855707,2974.499988,8501.013451,5689.434546,138.3464308,6195.021861,3183.64965,10784.46003,4754.757314,25484.26717,7226.097231,9268.299689,2575.463407,10615.64954,3988.877646,5721.210459,4583.147657,1488.357813,-8508.306429,14953.06209,5389.769142,4905.479708,-9351.419463,13493.64834,1946.817909
5,country,Belgium,0,0,0,0,0,0,0,0,0,0,0,0,16250.52939,33476.142,43557.8899,34370.49197,58892.96875,93430.67292,-13857.25272,64440.44048,57583.32285,83366.34902,11670.39705,23898.0012,-3505.905172,28331.29923,68245.11301,-3064.80948,27137.17506,11860.83584,6805.207503,11587.30872,-1710.150544
5,country,Belgium / Luxembourg,8046.73,9362.56,11285.8,10750,8513.58,10688.7,14063.9,11998.3,22690.5,119692.913,88738.714,88203.254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,country,Bulgaria,4,55.8999999,41.5,40,105.4,90.4,109,646.6614424,678.392895,922.6519159,1016.486088,808.4258753,922.2888334,2088.529334,3397.118077,3919.965925,7804.89399,12388.85878,9855.106749,3385.353473,1549.128873,2052.282187,1697.191912,1837.742946,461.5750298,2217.350622,1040.26088,1813.850191,1142.612472,1835.270194,3397.08316,1892.44811,2504.877055
5,country,Croatia,0,0,13,118.2651402,110.3327683,103.4753831,485.18139,579.5750298,943.6517714,1425.48395,989.6522576,1035.852923,984.9748247,1812.649685,1291.406434,1810.334278,3132.77216,4669.380269,5400.062987,2948.109302,1171.938031,1594.282487,1312.133421,909.8328176,2891.207684,74.06384112,266.2255761,529.8888512,1199.036388,401.4847691,146.3506659,4427.422418,3674.590796
5,country,Cyprus,126.62,81.7999999,107.4,83.4,75.2,375.7570399,428.8983104,548.3628429,345.3450658,803.6206074,837.5861433,928.6437122,1038.595235,891.441882,8594.77819,11090.50679,16726.16082,23237.58928,12246.51962,0.0000138919181,33429.64545,36622.58058,63501.89679,22260.81188,46454.08988,23945.6161,10928.26285,9437.62351,-413.4801655,52329.65289,-24450.84177,-35743.76302,4913.252608
5,country,Czechia,72,523,1003,653.4672484,868.3103411,2561.831451,1428.437754,1301.371678,3716.358128,6329.666293,4985.209231,5641.740699,8482.047131,2102.736715,4974.497856,11653.24701,5462.625467,10443.81754,6451.002923,2926.814824,6140.583193,2317.553784,7984.108594,3639.12943,5492.003461,465.1049342,9814.76887,9521.682018,11010.36396,10108.40697,9411.476213,9050.643918,9853.134066
5,country,Denmark,1132.15,1552.52,1017.39,1712.77,5006.18,4176.803746,758.7946891,2801.137413,7730.385639,16756.87763,33823.48939,11522.53683,6637.3559,2610.938314,-10715.96679,7533.546443,9530.535853,6638.497529,-742.2692242,1045.291529,-8977.400393,11939.23047,776.2587009,907.6199498,4682.30779,3616.130418,235.3039045,5436.55884,-2497.221131,27029.3774,1685.22529,4681.480991,4493.543949
5,country,Estonia,0,0,81.89998767,161.1295933,214.3515626,193.3239157,147.2909262,267.7468776,578.370361,302.7826814,391.2474664,539.2891338,288.7280599,927.999377,957.1175157,2799.17481,1334.410019,2311.211855,1829.684211,1839.440825,1508.542146,1004.599469,1564.940228,771.0632778,553.2902196,110.9612049,1033.28664,1277.27933,1426.319134,3082.948026,3419.344552,-831.9995884,1205.116859
5,country,Finland,644.6694172,-207.7861406,397.7869999,973.907779,1648.519344,1021.20023,1087.64318,2093.281606,12236.38857,4610.271173,8834.047356,3731.529481,8046.021364,3318.958415,2826.519653,4750.161667,7651.707791,12451.03594,-1143.999707,717.6106457,7358.832917,2549.850908,4153.957245,-106.0003984,18571.06798,2109.175635,8581.833477,2863.727251,-2171.777055,13456.08748,-1578.515738,13806.12991,9444.79078
5,country,France,16506.19332,16166.08715,18699.12261,16620.00232,15680.25694,23562.49673,21745.72761,23381.63966,31238.05338,46544.58054,27495.01566,15946.77274,21514.45673,7855.00895,-2573.579681,33228.72581,25325.74036,63499.56613,37593.42586,30733.48911,13890.09397,31641.9056,16062.05367,34279.83266,2672.876209,45364.68731,23077.21768,24832.52562,41832.98456,13100.09448,11359.14545,30884.90279,36413.35939
5,country,Germany,2962.363761,4727.24972,-2089.399033,368.2348244,7134.509086,12024.48487,6572.645653,12244.63398,24593.23623,56075.69354,198279.3394,26401.9964,53522.33118,32376.76545,-10192.1787,47449.79605,55654.56049,80212.48142,8127.028234,23805.5965,65642.98817,67513.66432,28181.12436,12776.7873,-471.2127855,20339.54177,22679.64734,48389.88602,72022.40272,52683.6644,56204.07399,46467.66151,11053.39587
5,country,Greece,1005,1135,1144,977,981,1053,1058,984,71.2,561.8999999,1108.162889,1589.337008,39.55578561,1275.23323,2101.655771,623.2900561,5354.887028,2111.305462,4498.626726,2436.364596,329.9141109,1143.135527,1739.702477,2818.248224,2686.834876,1268.160975,2765.153451,3484.812643,3973.265176,5019.206771,3212.506019,6328.189325,7603.638982
5,country,Hungary,553.8089999,1470.419,1477.004,2442.954,1143.371,5103.486605,3299.576146,4167.317669,3334.861149,3311.936107,2764.061819,3936.045586,2993.565399,2137.401419,4265.732493,7708.959225,6817.544536,3950.835121,6410.020231,2172.128787,2352.823553,6536.940942,14606.38452,3584.740723,7967.549949,-14537.42524,-5438.548392,3514.894612,6460.331074,4256.176107,7046.719591,7558.810973,8571.466165
5,country,Ireland,621.9109999,1361.668,1458.175,1077.89,856.979,1442.925,2617.483,2028.797815,8862.216911,18210.64171,25779.43615,9650.92035,29323.79653,22781.29282,-10607.6127,-31689.3001,-5542.306819,24707.17373,-16452.92416,25715.32959,42804.07128,23544.70324,48883.84081,50610.26629,48247.04741,217866.4152,39413.5618,52834.92053,-12017.40256,149433.0979,76571.71967,-4929.662422,1490.063436
5,country,Italy,6344.876,2481.577,3209.808,3746.619,2235.95,4816.515,3535.094,4961.472,4280.245,6911.159598,13374.7927,14870.56044,17054.88118,19424.38326,20125.86094,23291.29981,42580.92358,43849.3481,-10835.31695,20076.60004,9178.260898,34323.80396,92.51002834,24279.30141,23253.88296,19635.12371,28468.51741,24047.08261,37681.92619,18145.56755,-23621.76844,-8955.711099,19946.84212
5,country,Latvia,0,0,31.5,44.11601373,212.6324252,178.2942208,382.3640488,522.3345158,355.8295314,346.4549436,328.3397826,105.1802668,209.8724766,279.8989655,607.1781118,706.3622345,1663.444736,2323.996288,1264.144725,-22.22706896,419.8425259,1467.981734,1111.405202,901.7863072,896.7358814,738.9326528,254.5881207,745.5857932,963.6596392,924.6862112,1005.133032,3322.318077,1507.965258
5,country,Lithuania,0,0,10,31.2403604,31.339325,72.5575,152.43,354.4925,925.5,486.4575,378.8725,445.8125,724.9711718,180.4094914,844.4245777,1134.594339,2023.355968,2289.437451,1793.957593,-448.0977102,1019.541882,1798.972691,802.087643,573.8893685,-133.3944442,1055.053811,302.6056541,1020.786028,976.6383395,3021.641687,3518.331114,2864.573847,2157.875117
5,country,Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0,4243.174365,4291.105683,5179.643439,4644.769483,32219.53464,-29679.42581,7117.112828,27255.15425,39128.52876,8843.156717,2824.125588,23299.02384,20060.31379,45432.15356,17580.97009,-27369.77666,-83336.48255,163717.5968,9838.881744,25122.59105,-322053.7813
5,country,Malta,45.7939999,76.983,39.542,69.48408115,155.8288634,129.287173,293.0094103,82.00722343,277.2486228,856.6267538,581.5570296,235.2321149,-418.6769121,959.7847141,12608.15841,25083.20897,17691.38647,39620.09614,12688.79599,2906.948043,5409.466323,21875.92885,14183.92805,12007.75563,11204.96858,5069.237768,4248.432623,3407.289796,4023.616747,3778.105345,3921.423725,4116.283498,4239.683285
5,country,Netherlands,11063.315,6074.612329,6392.101324,6359.115239,7031.611503,11723.69591,16186.76489,11181.06879,37277.25342,41203.16164,63854.98434,51927.49953,25038.25702,32899.86615,12452.36632,39047.15714,13977.70282,114161.1852,-6776.430952,38751.92229,-7184.472449,24155.80624,25013.04134,51119.46344,45033.94311,175988.0641,60488.89638,20589.31459,99381.3302,-1140.264778,-86507.05665,-77453.3757,-67340.33434
5,country,Poland,88,359,678,1715,1875.209041,3658.1745,4498.720374,4910.209222,6398.400184,7270.784022,9445.314963,5579.255161,4030.107255,3982.305977,12140.25032,8203.217716,14577.49558,19836.21948,12283.03901,10039.32449,12796.27013,15925.13965,12423.52313,3625.459562,14268.73649,15270.83168,15690.14756,9172.340071,15996.26992,13510.16767,15195.44113,29580.07642,29461.89542
5,country,Portugal,2363.322636,2186.582866,1637.534286,1440.670702,1250.510601,674.9228273,1312.517062,2340.007915,3026.885982,1156.734251,6559.806523,6195.650151,1630.034351,7983.640583,2560.654367,3011.208715,7471.43358,3020.354318,2104.463213,1281.744297,1988.485805,5957.150475,8152.564887,8219.777439,4565.66657,9181.736991,5688.547502,6928.277617,7181.38266,12251.47754,7683.326288,9614.924948,9099.403315
5,country,Romania,0.01,40,77,94,341,419,263,1215,2031,1027.032037,1056.753271,1157.931473,1140.652205,2196.303979,6435.591316,6152.300812,10858.11789,9732.809856,13491.53628,4665.448621,2997.172354,2362.92234,3198.547078,3602.364035,3215.681586,3840.47487,5000.387417,5419.471086,6218.911348,5791.043306,3432.300864,10573.70011,11272.94592
5,country,Slovakia,93,81,100,179.1378503,255.1740064,2587.149232,369.7432936,230.6031021,926.7614286,626.7974391,2720.378662,2274.839599,5864.878829,2975.667977,4028.991824,3109.637865,5803.086279,4017.245202,4868.023584,-6.07910336,1769.760743,3491.285944,2981.688154,-604.2477655,-512.8211151,106.1399146,805.9007804,4016.770767,1675.084894,2510.637702,-2403.543169,58.70887789,2905.433234
5,country,Slovenia,4.2999999,64.9,111,112.5999999,116.9298479,153.5604039,175.479362,334.428438,217.8277983,105.6862843,137.3576561,358.5319147,1569.674839,271.1803385,675.45647,561.6475153,706.2765557,757.2915726,1218.409932,-475.8343139,105.3698785,1087.41581,339.3306384,-151.2226653,1051.238646,1675.07736,1245.941686,897.7449994,1384.172995,1462.913915,219.9992005,1773.304045,1622.026002
5,country,Spain,10797.15159,9633.026352,10665.74069,8571.494817,8883.492432,7910.827709,9325.034251,8918.367254,14266.89455,18743.38475,39575.10319,28408.1288,39222.56929,25819.30265,24760.68367,25020.18355,30802.38001,64264.41411,76992.51327,10406.59838,39872.50959,28379.20637,25696.45275,28100.13945,23308.49043,14435.81493,29653.98154,23502.89762,58062.85517,17842.36899,17948.10087,21957.17533,34811.07259
5,country,Sweden,1971.176541,6353.203736,-41.03845751,3845.877075,6349.663101,14448.29188,5437.401953,10967.54505,19918.94207,61135.04139,23432.80682,10914.35507,12273.03497,5280.288884,12093.2549,11515.98602,27445.93908,28592.62854,36946.94361,10146.69799,97.12078496,12929.46528,16257.07378,3864.617123,5332.039022,5234.954071,19610.27752,15264.02351,5269.129152,8760.831304,21514.15333,21133.16435,45963.06736
4,region,Other Europe,37597.89012,17928.05014,18497.51849,19471.91749,17387.8248,30751.11592,38150.82866,50658.82373,82236.21739,113293.0604,145788.1748,52766.6038,33236.81181,48290.26401,84311.96069,209061.7569,254096.0871,295645.0691,215955.4394,180190.659,146792.7624,137426.12,144474.6467,120312.1957,76369.96056,120811.4808,390042.6622,255265.7634,13709.70309,34248.04367,16914.22385,-101669.6028,18177.81056
5,country,Albania,0,0,20,68,52.9699999,70.0499999,90.09,47.5399999,45.01079681,41.19987532,144.2703151,206.427683,133.0563267,177.1038131,345.6718382,264.3386559,324.4219028,658.506675,974.3333211,995.929668,1050.708236,876.2683236,855.440232,1265.90079,1111.434379,945.7228448,1100.671891,1148.891224,1289.689054,1287.966989,1108.159167,1233.917686,1434.125507
5,country,Belarus,0,0,7,17.6,10.5,14.6999999,104.5,351.6,190.8449687,444,118.8,95.7999999,247.0999999,171.8,163.7999999,306.5999999,357.1,1807.3,2187.9,1876.5,1393.4,4002.4,1429.3,2229.6,1827.6,1667.9,1237.8,1278.5,1421,1293.1,1398.4,1238.41386,1603.42454
5,country,Bosnia and Herzegovina,0,0,0,0,0,0,0,0,66.73637671,176.7801503,146.0755773,118.8670699,265.1736865,381.053072,511.1861652,351.1858243,554.6900312,1819.244227,1001.647693,249.9485044,406.0890881,496.5250828,394.8732435,276.3619701,550.199095,361.1401255,349.7591302,491.8880169,581.3830514,457.5139829,429.0469999,587.3158814,661.3662769
5,country,Iceland,22.08160758,18.27233233,-12.73765811,0.4437659756,-1.529786516,-9.259302198,83.36842105,149.5395907,152.6389443,68.54191522,171.2249049,173.5906537,87.13563026,332.0992322,725.9262847,3071.050797,3843.07495,6824.791195,919.6922269,78.77028098,245.1366961,1107.490902,1025.126844,396.816639,447.1128208,708.530383,-427.2365816,-41.39851929,-381.4675241,-224.9060072,-927.8202006,153.0449206,619.5968415
5,country,"Moldova, Republic of",0,0,17,14,12.02,66.9099999,23.7399999,78.7399999,75.51,37.89,127.54,103.44,84.0499999,73.75,146.1999999,190.6999999,258.47,541.2599999,711.46,274.14,292.96,359.67,241.44,233.21,341.69,237.3,83.23,151.59,296.99,508.62,150.12,410.05,587.3
5,country,Montenegro,0,0,0,0,0,0,0,0,0,0,0,0,71.89007727,49.4314936,65.37656839,500.611849,622.0016282,934.4422272,960.4233347,1527.259416,760.4407684,558.0526998,619.7529468,447.4745998,497.6552017,699.365361,226.4096434,558.5657639,489.8148207,416.4472571,532.2844961,698.9195784,876.7516924
5,country,North Macedonia,0,0,0,0,24,9.49,11.21,58.058346,150.4820856,88.4061564,215.0566,447.132,0,113.3263509,323.6693698,96.02169079,432.5766596,692.5101678,585.7687641,201.3962378,212.5275196,478.7697715,142.9041866,334.9555256,272.533595,240.451753,374.6046213,205.2980118,725.2026713,446.4021523,230.0606564,556.4949793,793.8037623
5,country,Norway,1563.802969,302.3319667,-668.1148926,991.5239783,2776.447451,2409.410338,3211.102343,3981.536461,3934.871639,6789.95329,6408.77362,2505.658027,1192.417627,2450.347588,954.0368174,-2273.651533,8061.802527,2168.153444,8958.687943,19479.09858,14018.13649,11390.26623,14655.09239,1975.659574,5530.121381,-2514.951942,-3899.880952,-5849.000262,225.7608362,16714.77273,-8228.693096,1749.359721,-3435.555051
5,country,Russian Federation,0,0,1161,1210.782,689.5739999,2065.723,2579.321,4864.643,2761.36,3285.93,2651.06,2808.331,3425.021,7754.758,15283.751,14375.052,37441.574,54921.85,75855.697,27752.258,31667.969,36867.773,30187.664,53397.139,29151.662,11857.81,37175.76691,25953.53583,13227.64206,32075.62193,10409.86811,38638.90745,-18681.12
5,country,Serbia,0,0,0,0,0,0,0,740,113,112,51.78091026,177.4409178,490.6357348,1466.986594,958.4697622,1577.035766,4255.703638,4405.906892,3971.856301,2896.05718,1686.103748,4932.251615,1298.570302,2053.097389,1998.795071,2347.559775,2352.016562,2878.291575,4090.505675,4269.812522,3468.526201,4589.575183,4645.922144
5,country,Serbia and Montenegro,0,0,125.6813081,96.1073501,62.5847823,44.9853536,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,country,Switzerland,5483.889545,2642.27784,411.0309909,-83.2419702,3366.991058,2222.466532,3078.454058,6635.798003,8940.757754,11718.59189,19854.57474,9389.136116,6864.257255,17305.4617,1845.838359,-266.9493566,44598.43361,33538.24238,16214.86619,29934.89716,29875.9404,26414.90267,29482.97401,1154.920703,9340.071712,65063.28284,88472.38118,128120.2601,-101147.6685,-83217.61639,-50251.73025,-88169.29986,13311.3012
5,country,Ukraine,0,0,200,200,159,267,521,623,743,496,595,792,693,1424,1715,7808,5604,9891,10913,4816,6495,7207,8401,4499,410,-331,4055,3727,4732,6017,-36,7320,848
5,country,United Kingdom,30461.116,14846.168,17236.65875,16956.70237,10235.26729,23589.64,28448.04184,33128.36833,65062.00482,90033.76711,115304.0181,35948.78033,19683.07447,16590.14616,61219.74441,182927.9379,147372.4303,176838.6384,92158.33343,89709.13776,58200.28153,42200.40023,55446.12011,51675.89032,24690.24073,39185.7001,258698.6755,96353.8315,87837.47725,53918.27123,58237.17949,-71173.82902,14093.39555
5,country,Yugoslavia (former),67,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,region,North America,56004.276,25679.957,23945.744,55394.586,53299.115,68026.772,94088.764,114923.1838,197237.446,308120.0652,380802.0522,187124.4211,96612.45587,60628.24546,135380.9646,130464.5561,297429.9102,332772.594,367918.5191,166303.6763,226449.4426,269531.2979,242145.0061,270761.2412,260738.2048,511460.9699,495474.8742,331722.8459,240895.9247,280472.6794,122766.3301,453438.7528,337690.1964
4,country,Canada,7582.276,2880.957,4723.744,4731.586,8204.115,9254.772,9633.764,11525.1838,22803.446,24744.06521,66795.05222,27663.42106,22155.45587,7482.245459,-445.0354337,25691.55608,60293.91022,116820.594,61552.51912,22699.67632,28400.44265,39669.29788,43111.00614,69368.24121,59005.2048,43835.96994,36055.87423,22766.84593,37661.92475,50543.67938,26884.33012,65658.75281,52633.19645
4,country,United States,48422,22799,19222,50663,45095,58772,84455,103398,174434,283376,314007,159461,74457,53146,135826,104773,237136,215952,306366,143604,198049,229862,199034,201393,201733,467625,459419,308956,203234,229929,95882,387780,285057
3,region,Other developed economies,12577.91384,8535.670022,10628.65368,7781.325981,9879.380424,18633.88479,14175.80028,18230.7235,18605.8048,30503.95082,42394.01488,22152.71378,32300.81838,20219.70606,65940.13026,-5809.023004,47332.98499,85853.59338,95994.02917,58090.83911,52195.12338,79579.79157,83370.96784,85595.53049,88292.57245,47544.37435,94913.46148,92710.1627,113621.3348,83916.56945,60157.97088,93092.72523,147400.2886
4,country,Australia,7904.391676,4055.275129,5479.381633,4054.917854,4762.566258,11678.76178,5629.724696,7762.472354,5528.856725,1847.15636,14190.96375,7825.430321,14246.20768,6338.891375,39611.69333,-28294.65356,26313.84745,41479.5786,46905.66861,31893.08917,36795.51625,58931.59409,59574.38437,56765.52363,58506.70657,29580.2688,48401.36484,46114.2279,67568.13298,38886.15071,13582.82551,20898.81192,61629.47816
4,country,Bermuda,0,0,0,0,0,0,0,34.7,102.7,60.5,66.9,41.7999999,5.4,12.9,831.6,43.7,261,610.6,78.17,-70.384,230.73,-257.87,47.61,54.9,-3.425,-143.094,82,-288.109271,95.4163715,4.9853965,111.935757,1.5314229,-32.8933333
4,country,Israel,137.12,49.56,303.8679999,471.85,475.199,1576.598,1616.775,1990.376,1966.699,4187.194,6957.443,1771.719,1582.835,3322.393,2947.35,4818.272,14395.879,8798.282,10274.699,4607.028,6984.909,8653.401,9017.54,11842.324,6049.105,11336.502,11988.255,16892.825,21514.605,17362.681,23109.378,21486.458,27760.138
4,country,Japan,1806.039008,1284.26882,2755.603983,210.4354395,888.3844709,41.46307235,228.0835455,3224.61836,3192.576296,12741.33635,8322.739294,6241.595833,9239.348263,6323.977642,7815.417818,2775.758043,-6505.843558,22548.85099,24425.12215,11938.34141,-1251.810494,-1758.334482,1731.531949,2303.718219,12029.78823,2975.527938,19358.83601,9355.587239,9962.720845,13755.37321,10702.56677,24652.03117,32508.80841
4,country,"Korea, Republic of",1045.6,1455.2,1001.6,832.2999999,1136.6,2487.1,2782.6,3301.1,5989.2,10726.3,11509.4,6522.3,5475.1,7010,13294.4,13643.2,9161.9,8826.9,11187.5,9021.9,9497.4,9773,9495.9,12766.6,9273.6,4104.1,12104.3,17912.9,12182.6,9634.3,8764.9,22060.4,17996
4,country,New Zealand,1684.763155,1691.366072,1088.200066,2211.822687,2616.630695,2849.961939,3918.61704,1917.456791,1825.772782,941.4641116,1346.568839,-250.1313715,1751.927444,-2788.455955,1439.669115,1204.700515,3706.202093,3589.38178,3122.869413,700.8645245,-61.62138007,4238.000964,3504.001523,1862.464635,2436.797657,-308.9303895,2978.705631,2722.731827,2297.859621,4273.07914,3886.364845,3993.492715,7538.757392
2,region,Developing economies,33608.2309,37876.10716,52579.69312,76275.29045,102174.2576,116735.7203,146305.613,185086.4116,171936.2186,207975.7467,222711.2967,212988.0128,165395.2388,194038.0908,258027.8987,322840.2922,403789.9876,524044.594,587841.2444,473143.851,632619.0784,681887.0233,679883.3072,668950.6016,693597.94,746276.5179,659849.707,701705.3748,697237.0615,709114.2775,646521.8902,880894.2238,916417.9412
3,region,Africa,2845.173267,3543.551295,3839.975371,5443.865367,6104.516475,5665.131717,6047.850347,11030.17194,9991.920511,11893.76311,10381.78242,19972.76752,14761.36012,18156.99086,17646.69288,29408.09513,34507.68963,50953.76916,58462.6709,56720.88866,47335.48214,47249.07103,57079.60487,51067.35485,54775.68347,57579.68193,46157.18684,40358.40502,44170.69134,45962.0919,39195.44924,79582.74763,44929.08262
4,region,North Africa,1155.481,914.0838,1595.7831,2411.6939,2277.3567,1228.2149,1468.178,2746.909508,2993.248805,3347.94922,3250.12918,5357.612589,3871.561666,5265.553919,6443.897894,11613.38813,21594.52558,23096.86353,22205.47731,18141.53507,15745.91842,7548.344386,15758.99382,11964.39467,12038.82182,12326.72107,13841.16316,13274.57791,15406.63683,13550.08569,9800.210084,9508.745421,15038.42997
5,country,Algeria,40,80,30,0.001,0.001,0.001,270,260,606.6,291.6,280.1,1113.105541,1064.96,637.853027,884.749028,1145.617701,1888.45621,1743.630929,2632.047803,2754.118888,2301.225922,2580.626408,1499.446845,1696.86675,1506.733438,-584.5391991,1636.299236,1232.341924,1474.589069,1381.81231,1142.64069,869.65657,88.7685192
5,country,Egypt,734,253,459,1206.5,1133.4,595.2,636.3999999,886.8999999,1075.5,1065.3,1235.4,509.8999999,646.8999999,237.4,2157.4,5375.6,10042.8,11578.1,9494.6,6711.6,6385.6,-483,6031,4256,4612,6925.2,8106.8,7408.7,8141.3,9010,5851.8,5122,11399.9
5,country,Libya,158.911,91.9038,99.0931,58.1529,-72.6243,-88.4860999,-111.7219999,-67.9,-127.894,-128.0689999,141,-133,145,143,357,1038,2064,3850,3180,3310,1909,0,1425,702,0,0,0,0,0,0,0,0,0
5,country,Morocco,165,317,424,491,551,332,322,1204.709508,400.2428049,1380.41822,421.9620539,2807.060073,480.6907065,2314.468404,894.5627096,1653.985726,2449.446199,2804.501284,2487.094098,1951.70719,1573.856265,2568.434351,2728.361094,3298.102433,3561.002767,3254.799347,2157.149441,2686.029715,3558.878862,1719.961452,1419.20787,2266.455611,2141.396327
5,country,South Sudan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,-793,44,0.15,-7.8499999,1.4199999,60.14,-231.84,17.5,67.5,121.5
5,country,Sudan,-31.1299999,-0.62,0.09,-0.16,99.18,12,0.4,97.9,370.6999999,370.8,392.1999999,574,713.1799999,1349.19,1511.07,1617.098139,1841.833814,1504.379838,1653.120315,1726.298403,2063.730998,1734.376994,2311,1687.884179,1251.280889,1728.373403,1063.767535,1065.298481,1135.787164,825.3549923,716.9397106,522.9,573.5
5,country,Tunisia,88.7,172.8,583.6,656.2,566.3999999,377.5,351.1,365.3,668.1,367.8999999,779.4671258,486.5469761,820.8309595,583.6424879,639.116157,783.0865634,3307.989362,1616.251483,2758.615092,1687.810586,1512.50524,1147.906633,1603.185884,1116.541307,1063.804722,1002.737519,884.9969507,880.7877905,1035.941738,844.7969335,652.1218138,660.2332395,713.3651244
