level,type,Region/economy,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1,region,World,243874.7458,198856.8073,206048.8494,237527.5528,287274.5252,361243.83,394444.5378,465285.3632,679497.7462,1077161.559,1162491.561,681550.3926,496583.0176,527533.4596,908071.6379,838261.1777,1360910.094,2190947.808,1714124.163,1185910.202,1391288.501,1628513.802,1289183.259,1456500.929,1370142.007,1709884.462,1530619.795,1593101.509,1014749.57,1400769.562,731853.648,1729075.99,1489755.624
2,region,Developed economies,231899.9699,189353.8016,185050.0536,204706.1521,244198.8489,312967.2536,339129.9744,405617.2024,642291.2142,1026813.524,1078543.139,626614.1927,460217.8655,491830.0319,801138.9464,735001.1293,1172009.158,1934734.885,1457056.899,954802.8551,1054422.038,1270592.679,959180.7734,1063929.72,942602.7554,1318338.196,1144730.017,1145392.134,637811.9347,1002376.737,349933.0175,1244182.905,1030865.313
3,region,Europe,140954.8678,115352.9952,114893.3022,105635.1083,136072.0315,178042.1253,207854.1153,251371.3724,444405.7282,771547.7109,848016.4872,414548.6638,254867.0849,287682.8872,412820.3887,672124.8551,802250.0083,1357351.355,882899.1389,517995.1411,628950.4278,673160.8295,421997.828,533189.5906,367174.8828,825115.2673,587777.5568,527156.4172,539712.7564,618232.5377,-38460.62978,573222.5066,224283.4796
4,region,European Union,114236.2758,90925.66371,87278.29949,67809.09275,88545.67021,114255.6158,148231.8937,164424.369,298999.4061,526688.8287,558833.2985,337323.4021,183973.9206,194349.3305,263880.2773,491131.7863,594184.4182,905185.6251,563731.9987,405263.0449,435566.526,461548.8967,309550.6381,372959.5647,446114.088,756172.4706,497815.6073,324043.7112,343806.6387,617348.1551,63582.1927,476547.5594,96167.27617
5,country,Austria,1701,1293,1760.037229,1178.548218,1241.01585,1083.553079,1889.079775,1998.372652,2768.044225,3300.911864,5509.489589,3021.896896,5780.433862,6859.781905,8029.899487,11145.10272,11974.04223,35839.90978,28708.18455,10998.38939,9585.439037,21912.7925,13109.40191,15572.64188,-727.1923837,7028.557601,-2033.498539,10251.11358,5611.767314,12485.95042,6755.743319,18291.14579,-142.5910234
5,country,Belgium,0,0,0,0,0,0,0,0,0,0,0,0,12277.06931,38322.45715,34018.11601,32658.06099,50684.88511,80127.23127,17289.33973,21961.73332,576.1246018,49231.60331,41540.85731,40686.63258,10028.8284,55199.15677,40204.99878,29626.8682,43580.79861,6111.213108,10373.42977,33012.65296,24202.21056
5,country,Belgium / Luxembourg,6314.44,6270.93,11407,4903.56,1371.38,11603,8026.12,7252.12,28845.3,122304.174,86361.71,100646.089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,country,Bulgaria,-2.5059999,-6.07,-2.714,-3.2109999,0.18,-8,-28.5,-1.901785319,0.1143511859,17.43077921,3.040353694,7.785165144,27.29283328,26.29695926,-205.6210537,309.7796348,176.7566842,282.2191015,764.7855861,-94.88180048,313.2427679,399.093765,325.1238288,186.744491,267.638604,137.9942596,405.077717,330.5626499,248.6053354,449.4481062,246.2587833,351.1708926,388.7253635
5,country,Croatia,0,0,0,17.77577927,6.765991495,7.052791294,26.29396971,251.0787556,162.6331715,64.31181616,47.73607407,145.0966882,589.3021505,143.0278884,402.741597,267.3270159,324.197757,383.4473886,1542.295072,1175.990498,99.06971724,297.7841276,-52.02060928,-77.80677336,1980.223028,-140.0382004,-1938.416905,-724.7506016,202.5341178,-115.9164294,39.96592257,1117.908986,-272.4737686
5,country,Cyprus,4.5839999,14.6419999,14.6809999,12.2639999,6.0949999,15.693,35.17,28.01079141,70.72284524,180.4763767,168.6124931,245.4431786,508.7649985,571.9535158,8517.847026,11016.95065,16806.25058,23840.7202,14370.46598,63108.93139,33871.86378,43625.71261,68870.49395,26182.91573,60907.32429,39279.94701,8689.646364,8931.864155,-6941.00756,51415.48475,-32964.92574,-40911.32936,-1286.416998
5,country,Czechia,0,0,21,90.1662962,119.620915,36.60792669,152.8832304,25.2378669,127.0770603,89.89505108,42.84374482,165.3516602,206.4633383,206.1646992,1014.299722,-18.74159967,1467.967215,1620.192474,4323.101074,949.4733231,1166.815109,-327.3978718,1790.20733,4019.162867,1619.53163,2487.443468,2181.805996,7560.010489,8662.556097,4128.152732,2989.69437,7734.382998,2473.660255
5,country,Czechoslovakia (former),19.6,14.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,country,Denmark,1482.23,1851.99,2236.05,1373,4161.78,3070.129249,2517.818741,4209.276761,4477.05732,17014.89628,26549.0886,13360.85606,5700.01938,1138.490544,-10365.44451,12979.93733,13966.72165,12985.04014,15210.98442,4193.449384,1371.632516,11409.41679,7420.732398,7039.249792,8257.383469,9420.01305,10110.49182,11507.3854,-3970.944249,36424.90899,9959.872531,27371.38652,3791.326133
5,country,Estonia,0,0,1.906562017,6.08919975,2.2600885,2.485219353,39.36223029,138.6931095,5.829668303,84.4851042,61.42067431,201.7870086,131.6305115,155.0267823,268.9126595,662.8339178,1016.793009,1684.142244,1141.800598,1375.00248,167.1303061,-1454.065637,1053.539601,437.3811435,-97.04537484,276.9588295,477.2941865,253.3828538,-45.76917399,1890.770768,238.6673204,-600.2424878,874.2291381
5,country,Finland,2217.36196,-104.4141373,-736.1911425,1585.432058,4490.81274,1438.524826,3527.099626,5235.398383,18788.4447,6615.129333,24030.25889,8370.42532,7371.201355,-2279.472345,-1079.522949,4222.603592,4804.921588,7202.891385,9296.590618,5681.083236,10167.17679,5011.066858,7543.421895,-2307.442725,1744.746456,-16083.58149,24276.63767,-573.7734549,11455.26777,4865.23762,5856.042106,9463.106775,15453.48475
5,country,France,38302.21284,26786.93132,31854.06247,19716.12619,24538.6148,15681.73494,30123.53392,35905.979,49016.29953,126854.4374,161947.6691,52823.68838,23299.60943,18440.6016,22964.74269,68057.00642,76766.84551,110643.0271,103281.1235,100865.7582,48154.80932,51414.9078,35440.33489,20374.52686,49849.48427,53217.91213,64847.89245,35984.6816,102041.6358,43812.98912,21610.36018,44672.10885,48026.37676
5,country,Germany,24234.82265,22937.18741,18599.51334,17196.16892,18859.38415,39048.61387,50804.7077,41798.14424,88824.87057,108688.3821,57085.94435,39889.42202,18942.59282,5568.085423,20311.54073,74543.06571,116680.1833,169319.8807,71506.73161,68541.04992,125450.8142,77928.90298,62164.49054,39530.25965,86714.76094,88779.91457,70787.91371,86077.77025,97116.75044,151078.4114,50624.8341,165178.0805,142979.7941
5,country,Greece,10.706,-25.741,46.4979999,-22.4319999,15.786,41.5949999,-25.3679999,155.663,-275.6,552.1,2136.539525,616.1018693,652.4747071,412.2866617,1029.222775,1467.815749,4045.081109,5245.963117,2417.548614,2055.031444,1557.258177,1772.421127,677.5074715,-785.5767315,3019.14365,1578.164873,-1666.990119,168.3397488,476.8722407,641.5321379,548.5780543,1109.220205,2880.679132
5,country,Hungary,0,0,0.155,10.705,48.9979999,59.09325992,-3.639115083,461.4864901,278.1252041,249.9780726,620.4809713,408.8351886,536.3271431,2152.091734,1394.742059,2243.951859,4437.677065,4431.954081,2678.729851,1878.737486,1233.425186,4792.273361,11786.86451,1941.892021,3854.387736,-16109.68752,-8272.106348,1219.996937,3363.583135,3179.656627,4427.980268,4014.117145,4241.182203
5,country,Ireland,363.884,193.144,214.387,220.008,436.7149999,820.864,727.9669999,759.8068956,3904.756673,6108.922927,4628.70831,4065.288006,11025.36351,5549.448441,18068.82594,14312.54042,15323.5124,21145.90262,18948.98744,26615.52589,22348.33685,-1164.932474,22546.74969,29177.2362,41233.90857,168479.9734,30085.67444,-2048.10158,5153.689541,32083.02921,-52474.79743,58045.35573,5340.008256
